,chunk_num,chunk_size,code_rate,loop_num,p1,per,w1_done,w1_size,w2_done
0,985.0,100,2.4845177160968146,100,0.5,0.07688734631753857,0.31561341796212516,0.1,2.4845177160968146
1,985.0,100,2.260586882387579,100,0.45,0.07688734631753857,0.352064204189153,0.1,2.260586882387579
2,985.0,100,2.0589468101923667,100,0.4,0.07688734631753857,0.3837399704274907,0.1,2.0589468101923667
3,985.0,100,1.9103930777331677,100,0.35000000000000003,0.07688734631753857,0.44014901992521854,0.1,1.9103930777331677
4,985.0,100,1.7790690256939856,100,0.3,0.07688734631753857,0.505348947236226,0.1,1.7790690256939856
5,985.0,100,1.668517410840628,100,0.25,0.07688734631753857,0.6067466067195606,0.1,1.668517410840628
6,985.0,100,1.5573056549750082,100,0.2,0.07688734631753857,0.7399740653440946,0.1,1.5573056549750082
7,985.0,100,1.4783747946089663,100,0.15000000000000002,0.07688734631753857,0.9505480459052432,0.1,1.4783747946089663
8,985.0,100,1.3823242773249487,100,0.1,0.07688734631753857,1.1581403895610116,0.1,1.3823242773249487
9,985.0,100,1.3085975286055658,100,0.05,0.07688734631753857,1.267261698887804,0.1,1.3085975286055658
