,ber,chunk_num,chunk_size,code_rate,loop_num,p1,per,w1_done,w1_size,w2_done
0,0.0001,1313.0,75,1.8818375389277835,5,0.4,0.0582382918934744,1.0501924957207232,0.4,1.8818375389277835
1,0.0011,1313.0,75,3.5481131979096423,5,0.4,0.4833363861437857,1.9558410073742756,0.4,3.5481131979096423
2,0.0021,1313.0,75,6.246504630075547,5,0.4,0.7167215251594459,3.462332915060385,0.4,6.246504630075547
3,0.0031,1313.0,75,11.133713624820455,5,0.4,0.8447764545067069,6.399137238525155,0.4,11.133713624820455
4,0.0041,1313.0,75,21.42064725511143,5,0.4,0.9149959882652303,11.181678231646604,0.4,21.42064725511143
5,0.0051,1313.0,75,36.17245184415655,5,0.4,0.9534779847454052,22.9491709690249,0.4,36.17245184415655
6,0.0061,1313.0,75,70.03119813108205,5,0.4,0.9745543024403172,40.652460913913586,0.4,70.03119813108205
7,0.0071,1313.0,75,123.54754211588427,5,0.4,0.9860906633869445,70.02122666195463,0.4,123.54754211588427
8,0.0081,1313.0,75,229.36296547472264,5,0.4,0.9924013899616986,127.39268204776117,0.4,229.36296547472264
9,0.0091,1313.0,75,433.29091401702493,5,0.4,0.9958514431423855,235.8697805518562,0.4,433.29091401702493
10,0.0101,1313.0,75,779.8442658732796,5,0.4,0.9977364267581501,439.4910724218966,0.4,779.8442658732796
11,0.011099999999999999,1313.0,75,1377.0595639322746,5,0.4,0.998765684635956,774.8659982402814,0.4,1377.0595639322746
12,0.0121,1313.0,75,2659.3913064803482,5,0.4,0.9993273467282174,1483.7057101646024,0.4,2659.3913064803482
13,0.0131,1313.0,75,4944.9331276155635,5,0.4,0.9996336557462085,2588.2822122848597,0.4,4944.9331276155635
14,0.0141,1313.0,75,8787.13022493495,5,0.4,0.9998006023808713,5099.148519364912,0.4,8787.13022493495
