,ber,chunk_num,chunk_size,code_rate,loop_num,p1,per,w1_done,w1_size,w2_done
0,0.0001,2462.0,40,1.8440628559650216,5,0.4,0.031494967633405646,0.9922083343568677,0.4,1.8440628559650216
1,0.0011,2462.0,40,2.499207498353189,5,0.4,0.2968561197864328,1.3703579490924023,0.4,2.499207498353189
2,0.0021,2462.0,40,3.3083203652242066,5,0.4,0.48967453462215926,1.915670178275069,0.4,3.3083203652242066
3,0.0031,2462.0,40,4.877314335210717,5,0.4,0.6297366556825719,2.52731167095392,0.4,4.877314335210717
4,0.0041,2462.0,40,6.832162698335768,5,0.4,0.7314443098011147,3.4862727292942637,0.4,6.832162698335768
5,0.0051,2462.0,40,9.287491229265303,5,0.4,0.8052767197271258,4.9483492895973225,0.4,9.287491229265303
6,0.0061,2462.0,40,12.69339388834808,5,0.4,0.8588564642868244,6.636831661621997,0.4,12.69339388834808
7,0.0071,2462.0,40,17.57403506883557,5,0.4,0.8977264284098939,9.500831128258424,0.4,17.57403506883557
8,0.0081,2462.0,40,24.108626865237813,5,0.4,0.9259159214145326,12.837388656974278,0.4,24.108626865237813
9,0.0091,2462.0,40,31.408842671688827,5,0.4,0.9463530431361852,18.448795090357876,0.4,31.408842671688827
10,0.0101,2462.0,40,46.344663363239746,5,0.4,0.9611649596476796,24.709063894174594,0.4,46.344663363239746
11,0.011099999999999999,2462.0,40,63.57623124286143,5,0.4,0.9718964873742966,34.453749327929955,0.4,63.57623124286143
12,0.0121,2462.0,40,85.60804092427769,5,0.4,0.9796691592721608,46.222986850763064,0.4,85.60804092427769
13,0.0131,2462.0,40,121.58630052184073,5,0.4,0.9852969419664028,66.30271946464163,0.4,121.58630052184073
14,0.0141,2462.0,40,164.7558020216994,5,0.4,0.9893703903448968,91.97094784843124,0.4,164.7558020216994
