,ber,chunk_num,chunk_size,code_rate,loop_num,per,w1_done,w1_size,w2_done
0,0.0001,387.0,255,2.388353977851262,2,0.18454594704100524,1.2179970086515413,0.4,2.388353977851262
1,0.0011,387.0,255,18.084718136988638,2,0.8940973608811412,10.332377840267345,0.4,18.084718136988638
2,0.0021,387.0,255,136.23584498857022,2,0.9862745637553156,80.57161469545635,0.4,136.23584498857022
3,0.0031,387.0,255,1092.7135538074933,2,0.9982247650615026,655.7740219445503,0.4,1092.7135538074933
4,0.0041,387.0,255,8313.2145548553,2,0.9997708636257382,4961.932276793306,0.4,8313.2145548553
5,0.0051,387.0,255,63354.66235827143,2,0.9999704852597263,36722.88946944127,0.4,63354.66235827143
6,0.0061,387.0,255,475458.5290752333,2,0.9999962060742488,296265.61610718054,0.4,475458.5290752333
7,0.0071,387.0,255,4145491.103758785,2,0.9999995133218829,2091370.9932955103,0.4,4145491.103758785
8,0.0081,387.0,255,28371798.770118974,2,0.9999999376988399,16939938.459814623,0.4,28371798.770118974
9,0.0091,387.0,255,216071989.5846751,2,0.9999999920411566,144644577.36504233,0.4,216071989.5846751
10,0.0101,387.0,255,1901669880.30194,2,0.9999999989853845,954663805.6817794,0.4,1901669880.30194
11,0.011099999999999999,387.0,255,13533606237.259466,2,0.999999999870923,8477314507.401221,0.4,13533606237.259466
12,0.0121,387.0,255,122724453420.92719,2,0.9999999999836133,63456365806.1845,0.4,122724453420.92719
13,0.0131,387.0,255,825242500097.4401,2,0.999999999997924,504626744201.6848,0.4,825242500097.4401
14,0.0141,387.0,255,6601593288171.425,2,0.9999999999997375,4884586962099.934,0.4,6601593288171.425
