,ber,chunk_num,chunk_size,code_rate,loop_num,p1,per,w1_done,w1_size,w2_done
0,0.0001,985.0,100,1.8643482421279411,2,0.4,0.07688734631753857,1.1035357254967983,0.4,1.8643482421279411
1,0.0011,985.0,100,4.322662496386223,2,0.4,0.5854179419433361,2.633529149116004,0.4,4.322662496386223
2,0.0021,985.0,100,8.988429220192902,2,0.4,0.8139549580374383,5.128836472742928,0.4,8.988429220192902
3,0.0031,985.0,100,21.184226837640956,2,0.4,0.9165787297180901,11.913083885420505,0.4,21.184226837640956
4,0.0041,985.0,100,48.26110186876448,2,0.4,0.9626245959128926,26.399583595441833,0.4,48.26110186876448
5,0.0051,985.0,100,117.12247979618108,2,0.4,0.9832681218763849,60.5188454816235,0.4,117.12247979618108
6,0.0061,985.0,100,238.4292039323002,2,0.4,0.9925156777018707,128.23881486398616,0.4,238.4292039323002
7,0.0071,985.0,100,535.2835835350049,2,0.4,0.9966549042268266,336.71553836660263,0.4,535.2835835350049
8,0.0081,985.0,100,1136.7480877227792,2,0.4,0.998506132051632,657.4374406865595,0.4,1136.7480877227792
9,0.0091,985.0,100,2761.5661770758884,2,0.4,0.9993334039607495,1452.7742619817152,0.4,2761.5661770758884
10,0.0101,985.0,100,6052.005692821517,2,0.4,0.9997027927482255,3610.3579980044788,0.4,6052.005692821517
11,0.011099999999999999,985.0,100,14294.469833902196,2,0.4,0.9998675958757409,7586.386190356463,0.4,14294.469833902196
12,0.0121,985.0,100,29459.198613634242,2,0.4,0.999941062956634,16767.359023729816,0.4,29459.198613634242
13,0.0131,985.0,100,65460.48009301629,2,0.4,0.9999737868520611,38629.2386225139,0.4,65460.48009301629
14,0.0141,985.0,100,147213.60310669785,2,0.4,0.9999883508753826,92460.7794460486,0.4,147213.60310669785
