,ber,chunk_num,chunk_size,code_rate,loop_num,p1,per,w1_done,w1_size,w2_done
0,0.0001,2462.0,40,1.8615127023796854,5,0.4,0.031494967633405646,0.9654463102882247,0.4,1.8615127023796854
1,0.0011,2462.0,40,2.5014030292607496,5,0.4,0.2968561197864328,1.3546425699646032,0.4,2.5014030292607496
2,0.0021,2462.0,40,3.433463048080274,5,0.4,0.48967453462215926,1.894016991419566,0.4,3.433463048080274
3,0.0031,2462.0,40,4.880605962810292,5,0.4,0.6297366556825719,2.605871849663784,0.4,4.880605962810292
4,0.0041,2462.0,40,6.466380894142697,5,0.4,0.7314443098011147,3.7389011879387755,0.4,6.466380894142697
5,0.0051,2462.0,40,9.273721474095666,5,0.4,0.8052767197271258,5.225830719530895,0.4,9.273721474095666
6,0.0061,2462.0,40,12.702604514298809,5,0.4,0.8588564642868244,7.381165371265265,0.4,12.702604514298809
7,0.0071,2462.0,40,17.53749035507189,5,0.4,0.8977264284098939,9.696265901864207,0.4,17.53749035507189
8,0.0081,2462.0,40,24.004436184126106,5,0.4,0.9259159214145326,12.647651942949798,0.4,24.004436184126106
9,0.0091,2462.0,40,32.10705255073447,5,0.4,0.9463530431361852,18.139825859717284,0.4,32.10705255073447
10,0.0101,2462.0,40,45.49940834094961,5,0.4,0.9611649596476796,24.32828069106369,0.4,45.49940834094961
11,0.011099999999999999,2462.0,40,64.249867526608,5,0.4,0.9718964873742966,35.31820103969056,0.4,64.249867526608
12,0.0121,2462.0,40,88.04587785830547,5,0.4,0.9796691592721608,47.46588404171821,0.4,88.04587785830547
13,0.0131,2462.0,40,119.80135483196916,5,0.4,0.9852969419664028,65.16985919707606,0.4,119.80135483196916
14,0.0141,2462.0,40,164.7175827115895,5,0.4,0.9893703903448968,91.79513902192578,0.4,164.7175827115895
