,ber,chunk_num,chunk_size,code_rate,loop_num,per,w1_done,w1_size,w2_done
0,0.0001,387.0,255,2.5169820843711777,2,0.18454594704100524,1.2164090073364806,0.4,2.5169820843711777
1,0.0011,387.0,255,20.249015033707362,2,0.8940973608811412,7.837933959303394,0.4,20.249015033707362
2,0.0021,387.0,255,157.74676788150236,2,0.9862745637553156,67.3631532699717,0.4,157.74676788150236
3,0.0031,387.0,255,1269.2400424733232,2,0.9982247650615026,493.1070509838888,0.4,1269.2400424733232
4,0.0041,387.0,255,9743.01964144836,2,0.9997708636257382,4442.00315439583,0.4,9743.01964144836
5,0.0051,387.0,255,73840.64871812383,2,0.9999704852597263,29922.3543825077,0.4,73840.64871812383
6,0.0061,387.0,255,552596.8116100522,2,0.9999962060742488,259061.75417667057,0.4,552596.8116100522
7,0.0071,387.0,255,4839953.990845462,2,0.9999995133218829,1934385.129931089,0.4,4839953.990845462
8,0.0081,387.0,255,32092349.671108935,2,0.9999999376988399,22801365.018916123,0.4,32092349.671108935
9,0.0091,387.0,255,242592873.84845677,2,0.9999999920411566,121540494.14137974,0.4,242592873.84845677
10,0.0101,387.0,255,2145440985.763464,2,0.9999999989853845,952111228.6612396,0.4,2145440985.763464
11,0.011099999999999999,387.0,255,17767247328.529663,2,0.999999999870923,7865342690.8906,0.4,17767247328.529663
12,0.0121,387.0,255,139556590303.5141,2,0.9999999999836133,56344195292.415375,0.4,139556590303.5141
13,0.0131,387.0,255,1125273975945.4133,2,0.999999999997924,472814675036.93097,0.4,1125273975945.4133
14,0.0141,387.0,255,8575163777908.771,2,0.9999999999997375,3429078725918.64,0.4,8575163777908.771
