,K,avgs,pro
0,100,143.78,1.4378
1,150,210.48,1.4032
2,200,272.56,1.3628
3,250,336.43,1.34572
4,300,386.37,1.2879
5,350,454.11,1.297457143
6,400,505.63,1.264075
7,450,566.28,1.2584
8,500,624.39,1.24878
