,K,avgs,pro
0,100,152.25,1.5225
1,150,218.72,1.458133333
2,200,286.13,1.43065
3,250,372.51,1.49004
4,300,446.64,1.4888
5,350,515.49,1.472828571
6,400,622.98,1.55745
7,450,699.6,1.554666667
8,500,802.66,1.60532
9,1000,1813.58,1.81358
10,1500,2775.21,1.85014
11,2000,4002.25,2.001125
12,2500,5124,2.0496
13,3000,6519.26,2.173086667
