,BER,PER,RS_PER,SER,psnr,psnr_count
0,0.0001,0.18454594704100524,1.1102230246251565e-16,0.0007997200559929363,inf,5
1,0.0011,0.8940973608811412,1.9706825060694655e-10,0.008766194433603047,inf,5
2,0.0021,0.9862745637553156,1.8594858862686081e-06,0.016677037256917604,inf,5
3,0.0031,0.9982247650615026,0.0002247788214312374,0.024532581847360402,inf,5
4,0.0041,0.9997708636257382,0.004272460881932227,0.032333159860419514,-27.23020283338195,5
5,0.0051,0.9999704852597263,0.02928380619333093,0.04007910129231507,-36.084322719684124,5
6,0.0061,0.9999962060742488,0.10605717977711115,0.047770734486646815,-41.50671199119065,4
7,0.0071,0.9999995133218829,0.2505827871524685,0.05540838614102184,-45.095131818371264,4
8,0.0081,0.9999999376988399,0.4404656915124241,0.06299238131366247,-47.5896029996006,1
9,0.0091,0.9999999920411566,0.6299543802125824,0.07052304342999394,-49.21073303310511,1
10,0.0101,0.9999999989853845,0.7821841528542033,0.07800069428921241,-50.150976437719045,1
11,0.011099999999999999,0.999999999870923,0.8848187694221643,0.08542565407083291,0.0,0
12,0.0121,0.9999999999836133,0.9447007527659651,0.09279824134121817,0.0,0
13,0.0131,0.999999999997924,0.9756473059711944,0.10011877306008643,0.0,0
14,0.0141,0.9999999999997375,0.9900710591336717,0.10738756458700105,0.0,0
