,BER,PER,code_rate,drops_num,loop_num,size
0,1e-05,0.007968124844443647,1.2851129855998014,1255.24,100,100
1,1e-05,0.011928346422711678,1.316387888345687,853.77,100,150
2,1e-05,0.01587275867535054,1.3116791995697503,635.49,100,200
3,1e-05,0.01980142471367141,1.3628330811385354,526.11,100,250
4,1e-05,0.023714407397043225,1.3891587998392334,445.11,100,300
5,1e-05,0.02761176933389864,1.4089001959431267,385.4,100,350
6,1e-05,0.03149357288273513,1.4236705154203335,339.4,100,400
7,1e-05,0.035359880153113754,1.4324615404225367,302.34,100,450
8,1e-05,0.039210753006651555,1.4441437370966121,273.23,100,500
9,1e-05,0.043046253058012685,1.4943484454383116,256.0,100,550
10,1e-05,0.04686644167589349,1.5162789295199108,237.16,100,600
11,1e-05,0.050671379984004505,1.524950612559279,219.29,100,650
12,1e-05,0.05446112886204879,1.5389092522585845,204.67,100,700
13,1e-05,0.058235748946695365,1.5693800040752952,194.03,100,750
14,1e-05,0.06199530063255021,1.576162786549552,181.96,100,800
15,1e-05,0.06573984407312206,1.5643090999314022,169.29,100,850
16,1e-05,0.06946943918178483,1.6231820199347506,165.24,100,900
17,1e-05,0.07318414563273667,1.6346519336277,157.02,100,950
18,1e-05,0.0768840228619545,1.652547051077122,150.2,100,1000
19,1e-05,0.0805691300681447,1.6321730888642234,140.72,100,1050
20,1e-05,0.08423952621369102,1.6735618133346184,137.18,100,1100
21,1e-05,0.08789527002559716,1.6798129600495926,131.18,100,1150
22,1e-05,0.09153641999642714,1.7115771943141973,127.58,100,1200
23,1e-05,0.09516303438524065,1.7092218738109441,121.82,100,1250
24,1e-05,0.09877517121852575,1.7574655872892748,119.96,100,1300
25,1e-05,0.10237288829112656,1.7100234795788294,111.95,100,1350
26,1e-05,0.10595624316716878,1.7597900088731762,110.65,100,1400
27,1e-05,0.10952529318098025,1.7546963249439411,106.1,100,1450
28,1e-05,0.11308009543800823,1.768027430917694,102.93,100,1500
29,1e-05,0.11662070681573344,1.8178891572718028,102.01,100,1550
30,1e-05,0.12014718396458013,1.8131298750106135,98.17,100,1600
31,1e-05,0.1236595833088221,1.8202984439713301,95.19,100,1650
32,1e-05,0.12715796104748567,1.8596340412048593,94.01,100,1700
33,1e-05,0.13064237315524907,1.8528989222978187,90.63,100,1750
34,1e-05,0.13411287538333794,1.856683393559311,87.94,100,1800
35,1e-05,0.13756952326041727,1.8982592101347373,87.13,100,1850
36,1e-05,0.14101237209347983,1.9180636339954946,85.38,100,1900
37,1e-05,0.14444147696873122,1.8898531283641302,81.64,100,1950
38,1e-05,0.1478568927524715,2.036661568755824,85.44,100,2000
39,1e-05,0.15125867409197225,1.9131877925667107,77.99,100,2050
40,1e-05,0.1546468754163518,1.9374297698065408,76.79,100,2100
41,1e-05,0.15802155093744596,1.9819134557297287,76.42,100,2150
42,1e-05,0.16138275465067486,1.972720103842553,74.04,100,2200
43,1e-05,0.1647305403359074,1.999650270228914,73.09,100,2250
44,1e-05,0.16806496155832162,2.0430137012717733,72.76,100,2300
45,1e-05,0.17138607166926179,2.0090928756052473,69.75,100,2350
46,1e-05,0.17469392380709192,2.1008216114785685,71.13,100,2400
