,PER,code_rate,drops_num,loop_num,size
0,0.07688734631753857,1.433606231627446,1303.0,2,100
1,0.11308488514427917,1.3492597367131007,785.5,2,150
2,0.14786302861132394,1.4469364161355602,607.0,2,200
3,0.18127743473445046,1.559952598646038,503.0,2,250
4,0.2133815790404635,1.6210364231769756,418.5,2,300
5,0.24422684014800633,1.8249395108180342,388.0,2,350
6,0.27386258199253477,1.7008065781342527,304.0,2,400
7,0.302336232827047,1.7753165614982154,271.0,2,450
8,0.32969336112499803,1.9432291722143586,256.5,2,500
9,0.35597774850687236,2.3895910797695077,275.5,2,550
10,0.3812314598071255,2.2995882395214764,233.5,2,600
11,0.4054949103936254,2.7428048040480353,247.0,2,650
12,0.4288069308473328,2.6200367298996152,210.5,2,700
13,0.45120482910573,2.609450122355032,188.0,2,750
14,0.47272445016945164,2.5657052341235187,166.5,2,800
15,0.4934002334676705,2.752115369094242,161.5,2,850
16,0.5132652679740436,3.3709692704028353,179.5,2,900
17,0.5323513451614259,2.909130456101958,141.0,2,950
18,0.5506890098800976,3.164617043452627,140.0,2,1000
19,0.5683076092409304,4.211913634210177,170.5,2,1050
20,0.5852353395817227,4.080785250915967,151.5,2,1100
21,0.6014992915918691,3.883513233672532,132.5,2,1150
22,0.6171254936675791,3.708436868796061,116.5,2,1200
23,0.6321389535670295,3.98610159841144,115.5,2,1250
24,0.6465636984321166,4.6883075424249165,125.5,2,1300
25,0.6604228132408535,4.72412404528544,117.0,2,1350
26,0.6737384777519564,4.423524004476236,101.5,2,1400
27,0.6865320020007395,5.144333075989239,109.5,2,1450
28,0.6988238604031289,4.65370331671124,92.0,2,1500
29,0.710633724522374,5.331507543699739,98.0,2,1550
30,0.721980494550893,6.750980739995889,115.5,2,1600
31,0.7328823295576385,6.116825764177403,97.5,2,1650
32,0.7433566765493893,5.516618756693074,82.0,2,1700
33,0.7534202983924745,5.406076138393029,75.0,2,1750
34,0.7630893006396204,7.407970290247603,96.0,2,1800
35,0.7723791573048476,7.8419392829550025,95.0,2,1850
36,0.7813047356276722,8.823774293315166,100.0,2,1900
37,0.7898803198662399,6.362265988039324,67.5,2,1950
38,0.798119634157473,7.848211239532193,78.0,2,2000
39,0.8060358644808147,9.231473890465512,86.0,2,2050
40,0.8136416797607188,8.698097436502373,76.0,2,2100
41,0.8209492521416603,7.683215926443623,63.0,2,2150
42,0.8279702764681112,10.001153274104615,77.0,2,2200
43,0.8347159890006587,9.678095053570516,70.0,2,2250
44,0.8411971853982179,9.782085497824712,66.5,2,2300
45,0.8474242379951169,11.419454102941684,73.0,2,2350
46,0.853407112400705,10.891302250918567,65.5,2,2400
47,0.8591553834480486,11.130291808654583,63.0,2,2450
48,0.8646782505172399,10.60134629869045,56.5,2,2500
49,0.8699845522578394,12.748684311184954,64.0,2,2550
50,0.8750827807340161,14.691834014311356,69.5,2,2600
51,0.8799810950150209,14.240003882534483,63.5,2,2650
52,0.8846873342327437,14.030686864889313,59.0,2,2700
53,0.8892090301272526,12.983020032442225,51.5,2,2750
54,0.8935534191003893,15.76226030042528,59.0,2,2800
55,0.8977274537967146,17.547596914644696,62.0,2,2850
56,0.9017378142303356,14.837370618081785,49.5,2,2900
57,0.9055909184754231,15.86786205475559,50.0,2,2950
58,0.9092929329375261,16.79539812519351,50.0,2,3000
59,0.9128497822221239,21.148934732677507,59.5,2,3050
60,0.9162671586162067,22.74895272940032,60.5,2,3100
61,0.9195505311980604,20.08255289985132,50.5,2,3150
62,0.9227051545898339,21.23395986139182,50.5,2,3200
63,0.9257360773668971,22.668136577277938,51.0,2,3250
64,0.928648150137446,27.94897190312456,59.5,2,3300
65,0.9314460333052874,24.319154200451923,49.0,2,3350
66,0.9341342045282252,23.330237255593875,44.5,2,3400
67,0.9367169658839848,32.39125957338947,58.5,2,3450
68,0.9391984507551437,30.98627972666682,53.0,2,3500
69,0.9415826304440874,23.453632767457062,38.0,2,3550
70,0.9438733205285759,32.246198176963595,49.5,2,3600
71,0.9460741869680925,26.12281218659519,38.0,2,3650
72,0.9481887519707487,27.92406038216302,38.5,2,3700
73,0.9502203996301316,42.84578039736613,56.0,2,3750
74,0.9521723813411176,37.11956165648515,46.0,2,3800
75,0.9540478210033183,34.88820655154677,41.0,2,3850
76,0.9558497200204863,47.9982159787568,53.5,2,3900
77,0.9575809621038818,35.465633177868696,37.5,2,3950
78,0.9592443178872875,37.87874577098818,38.0,2,4000
79,0.9608424493610573,58.300550645213534,55.5,2,4050
80,0.9623779141322951,63.0893438526384,57.0,2,4100
81,0.9638531695179803,43.1439363880579,37.0,2,4150
82,0.9652705764775935,67.55454511860725,55.0,2,4200
83,0.9666324033915327,51.09769005818731,39.5,2,4250
84,0.9679408296913692,53.12769237531142,39.0,2,4300
85,0.9691979493477518,53.07029709600244,37.0,2,4350
86,0.9704057742215418,54.361115886415774,36.0,2,4400
87,0.9715662372835416,73.11789439795216,46.0,2,4450
88,0.9726811957079696,70.26519984640805,42.0,2,4500
89,0.9737524338446327,60.740955762739034,34.5,2,4550
90,0.974781666074552,94.48258900169542,51.0,2,4600
91,0.9757705395536129,78.94132316765065,40.5,2,4650
92,0.9767206368486293,77.92028419906353,38.0,2,4700
93,0.9776334784700413,59.31547665388317,27.5,2,4750
94,0.9785105253053005,88.47492712161961,39.0,2,4800
95,0.979353180956834,113.32412261482996,47.5,2,4850
96,0.9801627939883338,90.3146588560827,36.0,2,4900
97,0.9809406600829614,106.82982945734324,40.5,2,4950
98,0.9816880241169251,77.64848677297728,28.0,2,5000
