,PER,code_rate,drops_num,size
0,0.07688734631753857,1.3268834346452034,1206.0,100
1,0.11308488514427917,1.4703581599317812,856.0,150
2,0.14786302861132394,1.694846444600302,711.0,200
3,0.18127743473445046,1.5987188163062278,515.5,250
4,0.2133815790404635,1.7817843600033665,460.0,300
5,0.24422684014800633,1.7449808209110587,371.0,350
6,0.27386258199253477,1.8099043685079959,323.5,400
7,0.302336232827047,2.1323451688843877,325.5,450
8,0.32969336112499803,2.0114126519411784,265.5,500
9,0.35597774850687236,2.168412958048555,250.0,550
10,0.3812314598071255,2.3586783013507224,239.5,600
11,0.4054949103936254,2.3652527257580225,213.0,650
12,0.4288069308473328,2.3773254888875366,191.0,700
13,0.45120482910573,2.616390149276189,188.5,750
14,0.47272445016945164,2.6427534393524534,171.5,800
15,0.4934002334676705,2.896963546414992,170.0,850
16,0.5132652679740436,3.2113411991024226,171.0,900
17,0.5323513451614259,3.301140943094421,160.0,950
18,0.5506890098800976,3.1307104322727772,138.5,1000
19,0.5683076092409304,3.8660673533952656,156.5,1050
20,0.5852353395817227,3.5690036022862417,132.5,1100
21,0.6014992915918691,3.927477534431089,134.0,1150
22,0.6171254936675791,4.1063378203836205,129.0,1200
23,0.6321389535670295,4.07238085378831,118.0,1250
24,0.6465636984321166,4.240023155898231,113.5,1300
25,0.6604228132408535,4.380918452251883,108.5,1350
26,0.6737384777519564,5.0990375224011775,117.0,1400
27,0.6865320020007395,4.885941916921286,104.0,1450
28,0.6988238604031289,5.108956902041688,101.0,1500
29,0.710633724522374,5.168298129096685,95.0,1550
30,0.721980494550893,5.289729497572536,90.5,1600
31,0.7328823295576385,5.1130389721072635,81.5,1650
32,0.7433566765493893,6.088463383911258,90.5,1700
33,0.7534202983924745,5.478157153571603,76.0,1750
34,0.7630893006396204,6.71347307553689,87.0,1800
35,0.7723791573048476,6.47991824959966,78.5,1850
36,0.7813047356276722,7.059019434652134,80.0,1900
37,0.7898803198662399,7.116312327362502,75.5,1950
38,0.798119634157473,7.546356961088647,75.0,2000
39,0.8060358644808147,9.016788451152362,84.0,2050
40,0.8136416797607188,10.014256917025758,87.5,2100
41,0.8209492521416603,8.780818201649854,72.0,2150
42,0.8279702764681112,9.6114979517369,74.0,2200
43,0.8347159890006587,10.715033809310215,77.5,2250
44,0.8411971853982179,10.664679678079574,72.5,2300
45,0.8474242379951169,11.028376907635462,70.5,2350
46,0.853407112400705,13.302353894251684,80.0,2400
47,0.8591553834480486,10.158599666629183,57.5,2450
48,0.8646782505172399,12.477690776334779,66.5,2500
49,0.8699845522578394,11.45389606083023,57.5,2550
50,0.8750827807340161,12.472204415026907,59.0,2600
51,0.8799810950150209,16.93102823828903,75.5,2650
52,0.8846873342327437,15.933152880467526,67.0,2700
53,0.8892090301272526,18.403115774141405,73.0,2750
54,0.8935534191003893,15.495103346180784,58.0,2800
55,0.8977274537967146,17.12305827961297,60.5,2850
56,0.9017378142303356,15.886477631481508,53.0,2900
57,0.9055909184754231,17.295969639683594,54.5,2950
58,0.9092929329375261,16.96335210644545,50.5,3000
59,0.9128497822221239,21.504379013898976,60.5,3050
60,0.9162671586162067,22.56094485560363,60.0,3100
61,0.9195505311980604,20.67906437212413,52.0,3150
62,0.9227051545898339,19.972536503289334,47.5,3200
63,0.9257360773668971,27.335105872599865,61.5,3250
64,0.928648150137446,25.835184112131945,55.0,3300
65,0.9314460333052874,25.06361810454739,50.5,3350
66,0.9341342045282252,25.16519973637092,48.0,3400
67,0.9367169658839848,27.68483724221322,50.0,3450
68,0.9391984507551437,29.524662758427816,50.5,3500
69,0.9415826304440874,32.711645701979585,53.0,3550
70,0.9438733205285759,33.22335569747764,51.0,3600
71,0.9460741869680925,27.841418251502773,40.5,3650
72,0.9481887519707487,33.00116226982903,45.5,3700
73,0.9502203996301316,31.751783687333823,41.5,3750
74,0.9521723813411176,31.067459212493006,38.5,3800
75,0.9540478210033183,36.59007028576857,43.0,3850
76,0.9558497200204863,50.689704725229134,56.5,3900
77,0.9575809621038818,46.81463579478668,49.5,3950
78,0.9592443178872875,38.37715032060645,38.5,4000
79,0.9608424493610573,50.422097855319805,48.0,4050
80,0.9623779141322951,37.63224019280186,34.0,4100
81,0.9638531695179803,49.55722422952596,42.5,4150
82,0.9652705764775935,48.51644603972704,39.5,4200
83,0.9666324033915327,49.15727144838273,38.0,4250
84,0.9679408296913692,54.48994089775531,40.0,4300
85,0.9691979493477518,51.63596474205644,36.0,4350
86,0.9704057742215418,60.40123987379532,40.0,4400
87,0.9715662372835416,80.27073189340399,50.5,4450
88,0.9726811957079696,70.26519984640804,42.0,4500
89,0.9737524338446327,59.86065205603268,34.0,4550
90,0.974781666074552,61.13579288344997,33.0,4600
91,0.9757705395536129,61.39880690817273,31.5,4650
92,0.9767206368486293,84.07188558320011,41.0,4700
93,0.9776334784700413,78.72781446788129,36.5,4750
94,0.9785105253053005,70.32622412231302,31.0,4800
95,0.979353180956834,126.44586312812606,53.0,4850
96,0.9801627939883338,87.80591833230262,35.0,4900
97,0.9809406600829614,94.95984840652731,36.0,4950
98,0.9816880241169251,98.4471885871676,35.5,5000
