,K,avgs,pro
0,100,135.03,1.3503
1,150,201.04,1.340266667
2,200,266.38,1.3319
3,250,333.43,1.33372
4,300,399.54,1.3318
5,350,466.82,1.333771429
6,400,531.47,1.328675
7,450,600.23,1.333844444
8,500,666.95,1.3339
9,1000,1341.98,1.34198
10,1500,2021.64,1.34776
11,2000,2703.25,1.351625
12,2500,3388.38,1.355352
13,3000,4074.92,1.358306667
14,3500,4761.85,1.360528571
