,K,avgs,pro
0,100,157.24,1.5724
1,150,237.84,1.5856
2,200,325.78,1.6289
3,250,407.54,1.63016
4,300,507.35,1.691166667
5,350,625.57,1.787342857
6,400,713.79,1.784475
7,450,834.72,1.854933333
8,500,941.4,1.8828
9,1000,2128,2.128
10,1500,3318.52,2.212346667
11,2000,4537,2.2685
12,2500,5838.14,2.335256
13,3000,7304.59,2.434863333
