,code rate,size
0,1.5271734714604916,31
1,1.556270566727605,48
2,1.6310450944546009,73
3,1.5853585212268941,112
4,1.5985009140767825,171
5,1.680674385537274,262
6,1.831403615681495,400
7,1.5940788137314645,610
8,1.9243916311192362,932
9,1.6276599634369286,1422
10,2.299769449522649,2171
11,2.040310786106033,3315
12,1.8603696932764575,5060
13,1.9925817590899857,7724
14,2.059772496445257,11791
15,2.120540320942515,17999
16,2.3439975624619134,27475
17,1.8316270566727606,41940
18,1.7555758683729434,64020
19,3.374550071094861,97723
