,code rate,drop num,size
0,40.33297202452268,3020,50
1,3.0511709294605103,158,1050
2,2.1594638634092513,76,2050
3,2.355050162800721,64,3050
4,1.9350021189624766,34,4050
5,1.8064111402850176,29,5050
6,2.0562713646025497,35,6050
7,1.7677046106961858,25,7050
8,1.9489766993215187,22,8050
9,1.8396290835331082,16,9050
10,1.6949397370673571,15,10050
11,1.9081575956450865,21,11050
12,2.643682004403222,23,12050
13,1.8291210958223878,16,13050
14,1.9407120560213527,16,14050
15,2.659674436059241,10,15050
16,2.119140291435878,12,16050
17,1.5931361652149385,7,17050
18,1.9798913703214844,9,18050
19,2.1669718799715043,11,19050
20,1.6698153337618105,16,20050
21,1.88137323778052,9,21050
22,2.1499086392119753,16,22050
23,2.200589093269186,8,23050
24,2.6868779317980316,12,24050
25,2.289762344566517,17,25050
26,1.7461913482919735,6,26050
27,1.8132236448436232,5,27050
28,2.6209628280145134,9,28050
29,1.357200893873395,4,29050
30,1.8312004875739571,9,30050
31,2.0813528336719047,10,31050
32,3.6457444647839257,12,32050
33,1.4769449522697324,4,33050
34,1.383302864109294,3,34050
35,1.7799106236046744,4,35050
36,1.7574649603905297,8,36050
37,1.7309567336991958,6,37050
38,2.0095470241723734,5,38050
39,2.5382896607760186,9,39050
