,code rate,drop num,per,size
0,39.81754295742276,2966,0.0392124825527439,50
1,5.617436738927493,398,0.302336232827047,450
2,3.621846907387624,238,0.4934002334676705,850
3,3.020546074049323,160,0.6321389535670295,1250
4,2.565563209354484,128,0.7328823295576385,1650
5,2.557259838247797,96,0.8060358644808147,2050
6,2.1432175502545125,92,0.8591553834480486,2450
7,2.6504055932051567,48,0.8977274537967146,2850
8,2.296266065028611,56,0.9257360773668971,3250
9,1.8808279812297763,56,0.9460741869680925,3650
10,2.3630999328922284,63,0.9608424493610573,4050
11,1.6560664662288291,31,0.9715662372835416,4450
12,1.7905752073762051,40,0.979353180956834,4850
13,1.6889410712459578,25,0.9850075721299281,5250
14,1.9493139553625276,24,0.9891134371367628,5650
15,2.242079018030491,42,0.992094859351513,6050
16,2.095207938403586,33,0.9942597815805218,6450
17,1.8583451589557485,29,0.9958318126180812,6850
18,2.0827816644567196,18,0.9969733231767222,7250
19,2.0401327642214673,26,0.997802216706402,7650
20,2.276535808451186,30,0.9984041073138468,8050
21,2.319872999091987,24,0.9988411626054597,8450
22,2.302973849052176,23,0.9991585248064381,8850
23,1.6732751070886314,16,0.9993889733756296,9250
24,1.961056977908645,13,0.9995563107046458,9650
25,1.8991493439429423,20,0.999677820600674,10050
26,2.123186129022312,16,0.9997660534828382,10450
27,2.3365740587065176,25,0.9998301226800763,10850
28,1.9883622748218959,13,0.9998766457215326,11250
29,1.8933241696706031,16,0.9999104278427335,11650
30,1.8603688179133784,17,0.9999349583049971,12050
31,2.099124124736283,18,0.9999527707915278,12450
32,2.062126377528256,12,0.9999657051045054,12850
33,2.2877880306412615,14,0.9999750971931347,13250
34,2.1350172787600323,21,0.9999819171401217,13650
35,2.4258900700266905,20,0.9999868693588178,14050
36,1.8491949623223296,13,0.9999904653501152,14450
37,2.0210377585826493,12,0.999993076533951,14850
38,1.9515637417978335,17,0.9999949726122396,15250
39,1.9073805157461812,10,0.9999963494256323,15650
40,2.37995755807414,12,0.9999973491813544,16050
41,1.8043910417533857,9,0.999998075141393,16450
42,1.848265837456425,12,0.9999986022881411,16850
43,1.576784050052601,9,0.9999989850691197,17250
44,1.756755306473711,12,0.9999992630207111,17650
45,1.9798913703214842,10,0.999999464851762,18050
46,1.761426644255444,8,0.9999996114088402,18450
47,1.7230352211075832,7,0.9999997178294185,18850
48,3.2454810631128215,17,0.9999997951053826,19250
49,1.9558199131717071,8,0.9999998512183516,19650
50,1.547633723974361,10,0.9999998919640779,20050
51,1.5785091630360852,6,0.9999999215510745,20450
52,1.6093846133112626,10,0.9999999430352998,20850
53,1.9424132430520378,10,0.9999999586357997,21250
54,1.67113553668636,9,0.9999999699639064,21650
55,1.567641716092065,8,0.9999999781896686,22050
56,2.46252289091927,5,0.9999999841627022,22450
57,1.8101767423284048,7,0.9999999884999455,22850
58,1.9363193336588025,8,0.9999999916493801,23250
59,2.4019906706689467,13,0.9999999939363025,23650
60,1.6609790851115107,5,0.9999999955969223,24050
61,1.936928708203794,6,0.9999999968027605,24450
62,1.8171846477288949,5,0.9999999976783648,24850
63,1.538695919717679,5,0.9999999983141739,25250
64,2.084095066536602,4,0.9999999987758585,25650
65,2.2224253523716024,8,0.999999999111105,26050
66,1.8804590708867246,8,0.9999999993545401,26450
67,3.0542352238568475,7,0.9999999995313075,26850
68,2.1587446686201326,6,0.9999999996596648,27250
69,2.021937843278475,7,0.9999999997528699,27650
70,1.8232784890535745,6,0.9999999998205495,28050
71,1.9648588261751874,5,0.9999999998696943,28450
72,1.4650619542316565,7,0.9999999999053801,28850
73,1.8418647167627467,5,0.999999999931293,29250
74,1.7465976031746873,8,0.9999999999501092,29650
75,2.9909607963707967,8,0.9999999999637725,30050
76,3.0307739184222022,5,0.9999999999736938,30450
77,1.87995124927418,9,0.9999999999808982,30850
78,2.221714401818344,9,0.9999999999861294,31250
79,2.4430225472519065,9,0.9999999999899281,31650
80,2.018179971576816,6,0.9999999999926864,32050
81,1.5819622181680604,5,0.9999999999946892,32450
82,1.4680073126199205,6,0.9999999999961438,32850
83,1.8235831809923093,4,0.9999999999971998,33250
84,2.050578915299721,8,0.9999999999979666,33650
85,1.4524680073147591,4,0.9999999999985235,34050
86,1.5395084298208666,5,0.9999999999989279,34450
87,2.831606743857577,9,0.9999999999992215,34850
88,1.3604509445467778,4,0.9999999999994347,35250
89,1.8827950436733303,5,0.9999999999995896,35650
90,1.4645541336587748,3,0.9999999999997019,36050
91,1.8510054844610953,7,0.9999999999997835,36450
92,1.4970546414790085,3,0.9999999999998428,36850
93,1.5889701401586211,3,0.9999999999998859,37250
94,1.6825106642292678,3,0.9999999999999172,37650
95,1.9322567540118978,5,0.9999999999999398,38050
96,1.5620556571197106,3,0.9999999999999563,38450
97,1.3415600243754233,4,0.9999999999999682,38850
98,1.2756449319520913,4,0.9999999999999769,39250
99,2.094048344505418,4,0.9999999999999832,39650
