,code rate,size
0,1.5717169408897014,50
1,1.5852203940686573,74
2,1.6078427787934186,111
3,1.6014434795856185,165
4,1.602960085313833,246
5,1.6753740097501524,367
6,1.648842169408897,548
7,1.729006703229738,816
8,1.7929392646760105,1216
9,1.977156967296364,1813
10,2.12327239488117,2701
11,2.0690127970749543,4024
12,1.919803981312208,5996
13,2.027979890310786,8934
14,2.203463335364615,13310
15,1.6768372943327239,19832
16,2.0856352833638026,29547
17,1.9784864411943937,44023
18,1.7153590290473288,65590
19,2.382035344302255,97723
