,code rate,drop num,size
0,38.724522523673166,3008,50
1,3.246325773657246,150,1050
2,2.200793315340529,69,2050
3,2.2736075058738954,46,3050
4,2.1319271133701623,37,4050
5,1.9630363836623315,40,5050
6,2.5641456173055888,34,6050
7,2.1988520767196458,27,7050
8,2.4075594521030523,26,8050
9,1.9684031193804254,17,9050
10,2.3688314397567884,19,10050
11,1.9979532472048551,17,11050
12,3.4269951908930656,22,12050
13,2.9424991541490586,27,13050
14,2.511509719557044,27,14050
15,2.1705389075885764,13,15050
16,2.249548924755009,13,16050
17,1.6624029550068922,10,17050
18,2.236543955363158,12,18050
19,2.128275953543442,11,19050
20,2.280723382699058,11,20050
21,1.7958562724268599,9,21050
22,1.6572212427258974,8,22050
23,2.247410137806828,16,23050
24,1.9052407152749682,5,24050
25,1.9335770909672811,8,25050
26,2.1165955736872406,8,26050
27,1.7033313027318886,4,27050
28,1.8232784890535745,5,28050
29,1.8292707700032715,5,29050
30,2.2584806013412138,5,30050
31,2.3967093236221935,6,31050
32,2.2785902904899533,5,32050
33,1.7454803981369567,4,33050
34,1.5216331505202236,5,34050
35,1.5663213487721137,4,35050
36,1.4645541336587748,3,36050
37,1.279402803168971,3,37050
38,2.0868372943328497,3,38050
39,1.5864310379850113,3,39050
