,K,avgs
0,100,123.47
1,150,178.86
2,200,233.71
3,250,287.5
4,300,340.15
5,350,393.68
6,400,446.18
7,450,498.66
8,500,550.9
9,1000,1071.73
10,1500,1587.44
11,2000,2099.27
12,2500,2610.63
13,3000,3120.11
14,3500,3633.27
15,4000,4140.67
16,4500,4649.46
17,5000,5160.36
