,K,avgs,pro
0,100,122.13,1.2213
1,150,176.45,1.176333333
2,200,231.59,1.15795
3,250,286.12,1.14448
4,300,340.07,1.133566667
5,350,392.48,1.121371429
6,400,443.48,1.1087
7,450,497.42,1.105377778
8,500,550.95,1.1019
9,1000,1070.39,1.07039
10,1500,1588.38,1.05892
11,2000,2102.16,1.05108
12,2500,2614.04,1.045616
13,3000,3125.78,1.041926667
14,3500,3634.12,1.03832
