,K,avgs,pro
0,100,123.05,1.2305
1,150,178.73,1.191533333
2,200,233.66,1.1683
3,250,287.81,1.15124
4,300,343.92,1.1464
5,350,396.77,1.133628571
6,400,451,1.1275
7,450,504.24,1.120533333
8,500,558.2,1.1164
