,file_list,psnr,size
62,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_63_100.bmp,-20.332923842190777,0.63
63, ,0.0,0.0
64,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_65_100.bmp,-20.173852509733084,0.65
65, ,0.0,0.0
66,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_67_100.bmp,-19.995019372304043,0.67
67,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_68_100.bmp,-19.880733348931674,0.68
68,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_69_100.bmp,-19.758008985420883,0.69
69, ,0.0,0.0
70,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_71_100.bmp,-19.533168692100716,0.71
71,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_72_100.bmp,-19.444458608274964,0.72
72,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_73_100.bmp,-19.3929042134778,0.73
73,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_74_100.bmp,-19.271114198637427,0.74
74,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_75_100.bmp,-19.159845133964247,0.75
75,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_76_100.bmp,-19.07564501759619,0.76
76,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_77_100.bmp,-18.984174391014502,0.77
77, ,0.0,0.0
78,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_79_100.bmp,-18.775920295897215,0.79
79, ,0.0,0.0
80, ,0.0,0.0
81,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_82_100.bmp,-18.318910694660843,0.82
82,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_83_100.bmp,-18.137735665428835,0.83
83,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_84_100.bmp,-18.05886108011771,0.84
84, ,0.0,0.0
85,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_86_100.bmp,-17.84409802836638,0.86
86, ,0.0,0.0
87,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_88_100.bmp,-17.60760470412222,0.88
88,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_89_100.bmp,-17.44759832852744,0.89
89,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_90_100.bmp,-17.31706899704836,0.9
90, ,0.0,0.0
91,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_92_100.bmp,-16.980243139859397,0.92
92,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_93_100.bmp,-16.883412558831953,0.93
93, ,0.0,0.0
94,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_95_100.bmp,-16.64246555967547,0.95
95, ,0.0,0.0
96,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_97_100.bmp,-16.452253335992644,0.97
97, ,0.0,0.0
98,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_99_100.bmp,-16.251242302283828,0.99
99,../simulation/processing/Fri_Apr__5_12_02_21_2019/whale_100_100.bmp,-16.164894448334753,1.0
