,K,avgs,pro
0,100,188.54,1.8854
1,150,276.35,1.842333333
2,200,373.64,1.8682
3,250,466.68,1.86672
4,300,562.83,1.8761
5,350,651.25,1.860714286
6,400,748.19,1.870475
7,450,842.5,1.872222222
8,500,940.16,1.88032
9,1000,1892.62,1.89262
10,1500,2889.36,1.92624
11,2000,3880.89,1.940445
12,2500,4891.21,1.956484
13,3000,5872.57,1.957523333
