,K,avgs,pro
0,66,85.03,1.288333333
1,67,86.5,1.291044776
2,68,87.56,1.287647059
3,69,88.51,1.282753623
4,70,89.47,1.278142857
5,71,90.43,1.273661972
6,72,92.09,1.279027778
7,73,93.13,1.275753425
8,74,94.15,1.272297297
9,75,95.73,1.2764
10,76,97.33,1.280657895
11,77,97.52,1.266493506
12,78,98.64,1.264615385
13,79,100.54,1.272658228
14,80,100.9,1.26125
15,81,101.66,1.255061728
16,82,104.07,1.269146341
17,83,104.91,1.263975904
18,84,105.87,1.260357143
19,85,106.21,1.249529412
20,86,107.81,1.253604651
21,87,109.26,1.255862069
22,88,110.13,1.251477273
23,89,110.04,1.236404494
24,90,112.36,1.248444444
25,91,112.84,1.24
26,92,114.15,1.24076087
27,93,115.24,1.239139785
28,94,116.93,1.24393617
29,95,117.13,1.232947368
30,96,118.21,1.231354167
31,97,120.11,1.238247423
32,98,120.42,1.22877551
33,99,121.95,1.231818182
34,100,123.94,1.2394
35,101,124.61,1.233762376
36,102,125.56,1.230980392
37,103,126.85,1.231553398
38,104,128.06,1.231346154
39,105,128.99,1.22847619
40,106,129.94,1.225849057
41,107,132.07,1.234299065
42,108,132.06,1.222777778
43,109,133.27,1.22266055
44,110,133.89,1.217181818
45,111,135.19,1.217927928
46,112,137.56,1.228214286
47,113,138.1,1.222123894
48,114,138.56,1.215438596
49,115,139.66,1.214434783
50,116,141.9,1.223275862
51,117,141.69,1.211025641
52,118,143.84,1.218983051
53,119,144.3,1.212605042
54,120,145.61,1.213416667
55,121,147.3,1.217355372
56,122,148.06,1.213606557
57,123,148.52,1.207479675
58,124,149.3,1.204032258
59,125,151.3,1.2104
60,126,152.23,1.208174603
61,127,153.81,1.211102362
62,128,154.77,1.209140625
63,129,156.21,1.210930233
64,130,158.18,1.216769231
65,131,158.19,1.207557252
66,132,159.26,1.206515152
67,133,161.15,1.211654135
68,134,160.64,1.19880597
69,135,161.18,1.193925926
70,136,162.7,1.196323529
71,137,164.22,1.198686131
72,138,165.35,1.198188406
73,139,167.09,1.202086331
74,140,168.2,1.201428571
75,141,169.16,1.199716312
76,142,169.44,1.193239437
77,143,171.32,1.198041958
78,144,171.49,1.190902778
79,145,173.77,1.198413793
80,146,174.2,1.193150685
81,147,175.31,1.192585034
82,148,176.35,1.191554054
83,149,177.43,1.190805369
