,K,avgs,pro
0,66,110.7,1.677272727
1,67,111.41,1.662835821
2,68,109,1.602941176
3,69,116.28,1.685217391
4,70,114.21,1.631571429
5,71,114.49,1.612535211
6,72,118.74,1.649166667
7,73,119.06,1.630958904
8,74,124.86,1.687297297
9,75,119.07,1.5876
10,76,124.39,1.636710526
11,77,122.28,1.588051948
12,78,127.73,1.637564103
13,79,124.57,1.576835443
14,80,130.89,1.636125
15,81,129.45,1.598148148
16,82,131.92,1.608780488
17,83,135.51,1.632650602
18,84,133.11,1.584642857
19,85,139.06,1.636
20,86,134.56,1.564651163
21,87,136.29,1.566551724
22,88,135.45,1.539204545
23,89,141.15,1.585955056
24,90,142.14,1.579333333
25,91,147.01,1.615494505
26,92,149,1.619565217
27,93,151.99,1.634301075
28,94,146.68,1.560425532
29,95,148.95,1.567894737
30,96,150.53,1.568020833
31,97,158.92,1.638350515
32,98,154.46,1.576122449
33,99,156.08,1.576565657
34,100,161.13,1.6113
35,101,159.65,1.580693069
36,102,164.24,1.610196078
37,103,157.25,1.526699029
38,104,163.23,1.569519231
39,105,163.34,1.555619048
40,106,163.39,1.541415094
41,107,171.43,1.602149533
42,108,169.53,1.569722222
43,109,173.03,1.587431193
44,110,176.01,1.600090909
45,111,174.43,1.571441441
46,112,179.92,1.606428571
47,113,178.73,1.581681416
48,114,176.3,1.546491228
49,115,187.52,1.630608696
50,116,181.55,1.565086207
51,117,182.08,1.556239316
52,118,182.72,1.548474576
53,119,183.89,1.545294118
54,120,188.79,1.57325
55,121,192.92,1.594380165
56,122,194.06,1.590655738
57,123,189.74,1.542601626
58,124,194.4,1.567741935
59,125,191.19,1.52952
60,126,196.65,1.560714286
61,127,203.21,1.60007874
62,128,206.27,1.611484375
63,129,200.16,1.551627907
64,130,203.03,1.561769231
65,131,206.27,1.574580153
66,132,209.61,1.587954545
67,133,202.72,1.524210526
68,134,208.18,1.55358209
69,135,210.13,1.556518519
70,136,212.44,1.562058824
71,137,220.26,1.607737226
72,138,216.41,1.568188406
73,139,217.66,1.565899281
74,140,229.59,1.639928571
75,141,223.27,1.583475177
76,142,223,1.570422535
77,143,225.28,1.575384615
78,144,225.38,1.565138889
79,145,236.37,1.630137931
80,146,236.25,1.618150685
81,147,239.5,1.629251701
82,148,229.94,1.553648649
83,149,238.62,1.60147651
84,150,234.04,1.560266667
