,PSNR,count,e2e_per,loop_num
0,inf,100,0.0,100
1,15.667246971219635,84,0.1631999999999999,100
2,10.628475510015715,43,0.5166,100
3,9.792546619196338,42,0.6244,100
4,9.403244395748043,32,0.6782999999999999,100
5,9.358452731688411,32,0.6862,100
