,num_chunks,times,drop_num_used
0,109,0,133
1,109,1,138
2,109,2,140
3,109,3,134
4,109,4,130
5,109,5,136
6,109,6,125
7,109,7,141
8,109,8,130
9,109,9,140
10,109,10,149
11,109,11,126
12,109,12,130
13,109,13,131
14,109,14,132
15,109,15,127
16,109,16,133
17,109,17,135
18,109,18,131
19,109,19,130
20,109,20,132
21,109,21,135
22,109,22,130
23,109,23,135
24,109,24,134
25,109,25,140
26,109,26,130
27,109,27,140
28,109,28,136
29,109,29,121
30,109,30,140
31,109,31,135
32,109,32,137
33,109,33,133
34,109,34,131
35,109,35,141
36,109,36,126
37,109,37,130
38,109,38,128
39,109,39,132
40,109,40,135
41,109,41,132
42,109,42,129
43,109,43,134
44,109,44,133
45,109,45,135
46,109,46,138
47,109,47,140
48,109,48,130
49,109,49,131
50,109,50,136
51,109,51,130
52,109,52,126
53,109,53,140
54,109,54,130
55,109,55,140
56,109,56,140
57,109,57,131
58,109,58,135
59,109,59,133
60,109,60,139
61,109,61,140
62,109,62,136
63,109,63,123
64,109,64,142
65,109,65,128
66,109,66,129
67,109,67,129
68,109,68,130
69,109,69,127
70,109,70,131
71,109,71,133
72,109,72,128
73,109,73,130
74,109,74,130
75,109,75,132
76,109,76,131
77,109,77,130
78,109,78,122
79,109,79,130
80,109,80,130
81,109,81,130
82,109,82,136
83,109,83,137
84,109,84,139
85,109,85,141
86,109,86,136
87,109,87,135
88,109,88,135
89,109,89,135
90,109,90,130
91,109,91,130
92,109,92,131
93,109,93,135
94,109,94,133
95,109,95,140
96,109,96,126
97,109,97,130
98,109,98,140
99,109,99,135
