,K,avgs,pro
0,100,123.31,1.2331
1,150,178.23,1.1882
2,200,232.95,1.16475
3,250,286.97,1.14788
4,300,339.74,1.132466667
5,350,393.76,1.125028571
6,400,447.95,1.119875
7,450,499.17,1.109266667
8,500,552.22,1.10444
9,1000,1074.18,1.07418
10,1500,1592.44,1.061626667
11,2000,2106.58,1.05329
12,2500,2622.95,1.04918
13,3000,3134.54,1.044846667
14,3500,3650.48,1.042994286
