,BER,PER,psnr,psnr_count
0,1e-05,0.007968124844443647,-30.250154317292026,498
1,2e-05,0.0158728374071887,-33.258870864230126,491
2,3.0000000000000004e-05,0.023714641711892415,-34.96033575826787,488
3,4e-05,0.03149403778137727,-36.18156589596287,481
4,5e-05,0.03921152166865882,-37.17909516056634,480
5,6e-05,0.04686758548902448,-37.94246951439078,476
6,7.000000000000001e-05,0.05446271745099451,-38.60899768239972,480
7,8e-05,0.06199740188704872,-39.159480068126385,473
8,9e-05,0.06947211928494501,-39.642174466013344,460
9,0.0001,0.07688734631753857,-40.10515991878946,455
10,0.00011,0.08424355587369081,-40.49048563846547,457
11,0.00012,0.09154121708761809,-40.85822660312481,458
12,0.00013000000000000002,0.09878079536923334,-41.190471388803196,450
13,0.00014000000000000001,0.10596275243343145,-41.496738971672514,454
14,0.00015000000000000001,0.11308754632915208,-41.77940892398688,433
15,0.00016,0.12015563146900365,-42.03385554877215,430
16,0.00017,0.12716745865746715,-42.26670391522993,425
17,0.00018,0.13412347512005607,-42.510761177624154,424
18,0.00019,0.14102412453145974,-42.73365491752663,448
19,0.0002,0.1478698470434736,-42.93244681266863,433
20,0.00021,0.15466107931346895,-43.13307152371499,431
21,0.00022,0.1613982545314967,-43.31305009005882,428
22,0.00023,0.16808180244831117,-43.50058497397081,414
23,0.00024,0.17471214940241642,-43.655371592422235,401
24,0.00025000000000000006,0.18128971834690844,-43.82745863256521,400
25,0.00026000000000000003,0.1878149288768335,-43.96513020577788,412
26,0.00027000000000000006,0.1942881972552375,-44.127220241005226,405
27,0.00028000000000000003,0.20070993644009605,-44.26577803450152,392
28,0.00029000000000000006,0.2070805561103073,-44.40042115810506,410
29,0.00030000000000000003,0.21340046269148671,-44.531352486591956,389
30,0.00031000000000000005,0.2196700593822608,-44.659640910201176,385
31,0.00032,0.22588974617929924,-44.779666168226875,390
32,0.00033000000000000005,0.2320599199032647,-44.893466441540006,373
33,0.0003400000000000001,0.23818097422345008,-45.013869058621964,392
34,0.00035000000000000005,0.24425329968325182,-45.11912836328631,365
35,0.0003600000000000001,0.2502772837247541,-45.22751036277297,380
36,0.00037000000000000005,0.2562533107131285,-45.31749376482253,374
37,0.0003800000000000001,0.2621817619615021,-45.42662043065331,376
38,0.00039000000000000005,0.268063015754636,-45.524847784539034,359
39,0.0004000000000000001,0.2738974473734038,-45.60929158558129,381
40,0.00041000000000000005,0.2796854291184193,-45.70687793008232,354
41,0.00042000000000000007,0.2854273303334832,-45.78696909474911,345
42,0.00043000000000000004,0.29112351742948306,-45.89061942777611,349
43,0.00044000000000000007,0.2967743539071478,-45.96349260719655,347
44,0.00045000000000000004,0.30238020038057234,-46.050085059461125,351
45,0.00046000000000000007,0.3079414145999242,-46.13045499118731,333
46,0.00047000000000000004,0.3134583514739756,-46.20168290220315,348
47,0.00048000000000000007,0.31893136309307224,-46.27912059737531,339
48,0.0004900000000000001,0.32436079875100043,-46.35670291958727,352
