,K,avgs,pro
0,100,150.13,1.5013
1,150,212.36,1.415733333
2,200,280.04,1.4002
3,250,334.34,1.33736
4,300,390.24,1.3008
5,350,453.65,1.296142857
6,400,508.85,1.272125
7,450,574.17,1.275933333
8,500,628.02,1.25604
