,file_list,psnr,size
38,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_39_100.bmp,23.329720234956113,0.39
39,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_40_100.bmp,23.34973655323664,0.4
40,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_41_100.bmp,23.37990681759311,0.41
41,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_42_100.bmp,23.4066313426193,0.42
42,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_43_100.bmp,23.4231666755382,0.43
43,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_44_100.bmp,23.484280103505096,0.44
44,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_45_100.bmp,23.883635786832134,0.45
45,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_46_100.bmp,24.442166410702665,0.46
46,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_47_100.bmp,24.521357318028933,0.47
47,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_48_100.bmp,24.655363548667147,0.48
48,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_49_100.bmp,24.809899632165067,0.49
49,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_50_100.bmp,24.970348113880306,0.5
50,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_51_100.bmp,25.110730836877618,0.51
51,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_52_100.bmp,25.178230921812563,0.52
52,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_53_100.bmp,25.237688431195,0.53
53,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_54_100.bmp,25.28773666448967,0.54
54,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_55_100.bmp,25.36430335368664,0.55
55,/media/ucc/EE42E1D62A24B251/work_place/img_dwt/lib/../simulation/processing/Tue_Apr__2_21_26_37_2019/twin_56_100.bmp,25.50719569272856,0.56
