,K,avgs,pro
0,100,123.61,1.2361
1,150,179.93,1.199533333
2,200,235.57,1.17785
3,250,290.69,1.16276
4,300,343.45,1.144833333
5,350,398.07,1.137342857
6,400,453.46,1.13365
7,450,507.39,1.127533333
8,500,562.03,1.12406
9,1000,1092.1,1.0921
10,1500,1615.99,1.077326667
11,2000,2141.26,1.07063
12,2500,2663.19,1.065276
13,3000,3183.75,1.06125
14,3500,3702.81,1.057945714
