,K,avgs,pro
0,50,66.17,1.3234
1,100,123.61,1.2361
2,150,179.93,1.199533333
3,200,235.57,1.17785
4,250,290.69,1.16276
5,300,343.45,1.144833333
6,350,398.07,1.137342857
7,400,453.46,1.13365
8,450,507.39,1.127533333
9,500,562.03,1.12406
10,1000,1092.1,1.0921
11,1500,1615.99,1.077326667
12,2000,2141.26,1.07063
13,2500,2663.19,1.065276
14,3000,3183.75,1.06125
15,3500,3702.81,1.057945714
16,4000,4219.08,1.05477
17,4500,4736.36,1.052524444
18,5000,5254.24,1.050848
